topic,month_date,n_articles,topicname,fraction
1,2013-12-01,8,jobs/companies,11.764705882352942
1,2014-01-01,8,jobs/companies,9.411764705882353
1,2014-02-01,19,jobs/companies,12.258064516129032
1,2014-03-01,5,jobs/companies,4.065040650406504
1,2014-04-01,6,jobs/companies,9.836065573770492
1,2014-05-01,5,jobs/companies,6.4935064935064934
1,2014-06-01,11,jobs/companies,9.482758620689655
1,2014-07-01,6,jobs/companies,5.0
1,2014-08-01,11,jobs/companies,9.322033898305085
1,2014-09-01,13,jobs/companies,10.833333333333334
1,2014-10-01,8,jobs/companies,5.797101449275362
1,2014-11-01,7,jobs/companies,8.536585365853659
1,2014-12-01,6,jobs/companies,8.571428571428571
1,2015-01-01,4,jobs/companies,5.970149253731344
1,2015-02-01,4,jobs/companies,6.153846153846154
1,2015-03-01,9,jobs/companies,14.0625
1,2015-04-01,7,jobs/companies,5.0359712230215825
1,2015-05-01,23,jobs/companies,10.502283105022832
1,2015-06-01,16,jobs/companies,10.19108280254777
2,2013-12-01,6,intro to predictive modeling,8.823529411764707
2,2014-01-01,4,intro to predictive modeling,4.705882352941177
2,2014-02-01,9,intro to predictive modeling,5.806451612903226
2,2014-03-01,10,intro to predictive modeling,8.130081300813009
2,2014-04-01,3,intro to predictive modeling,4.918032786885246
2,2014-05-01,11,intro to predictive modeling,14.285714285714286
2,2014-06-01,7,intro to predictive modeling,6.0344827586206895
2,2014-07-01,9,intro to predictive modeling,7.5
2,2014-08-01,9,intro to predictive modeling,7.627118644067797
2,2014-09-01,13,intro to predictive modeling,10.833333333333334
2,2014-10-01,17,intro to predictive modeling,12.318840579710145
2,2014-11-01,5,intro to predictive modeling,6.097560975609756
2,2014-12-01,4,intro to predictive modeling,5.714285714285714
2,2015-01-01,5,intro to predictive modeling,7.462686567164179
2,2015-02-01,2,intro to predictive modeling,3.076923076923077
2,2015-03-01,7,intro to predictive modeling,10.9375
2,2015-04-01,9,intro to predictive modeling,6.474820143884892
2,2015-05-01,16,intro to predictive modeling,7.30593607305936
2,2015-06-01,13,intro to predictive modeling,8.280254777070065
3,2013-12-01,7,data science career/programs,10.294117647058824
3,2014-01-01,9,data science career/programs,10.588235294117647
3,2014-02-01,9,data science career/programs,5.806451612903226
3,2014-03-01,17,data science career/programs,13.821138211382113
3,2014-04-01,9,data science career/programs,14.754098360655737
3,2014-05-01,6,data science career/programs,7.792207792207792
3,2014-06-01,5,data science career/programs,4.310344827586207
3,2014-07-01,7,data science career/programs,5.833333333333333
3,2014-08-01,6,data science career/programs,5.084745762711864
3,2014-09-01,10,data science career/programs,8.333333333333334
3,2014-10-01,12,data science career/programs,8.695652173913043
3,2014-11-01,8,data science career/programs,9.75609756097561
3,2014-12-01,3,data science career/programs,4.285714285714286
3,2015-01-01,6,data science career/programs,8.955223880597014
3,2015-02-01,10,data science career/programs,15.384615384615385
3,2015-03-01,6,data science career/programs,9.375
3,2015-04-01,16,data science career/programs,11.510791366906474
3,2015-05-01,17,data science career/programs,7.762557077625571
3,2015-06-01,7,data science career/programs,4.45859872611465
4,2013-12-01,3,deep learning/neural network,4.411764705882353
4,2014-01-01,9,deep learning/neural network,10.588235294117647
4,2014-02-01,7,deep learning/neural network,4.516129032258065
4,2014-03-01,7,deep learning/neural network,5.691056910569106
4,2014-04-01,7,deep learning/neural network,11.475409836065573
4,2014-05-01,9,deep learning/neural network,11.688311688311689
4,2014-06-01,10,deep learning/neural network,8.620689655172415
4,2014-07-01,9,deep learning/neural network,7.5
4,2014-08-01,10,deep learning/neural network,8.474576271186441
4,2014-09-01,10,deep learning/neural network,8.333333333333334
4,2014-10-01,12,deep learning/neural network,8.695652173913043
4,2014-11-01,9,deep learning/neural network,10.975609756097562
4,2014-12-01,3,deep learning/neural network,4.285714285714286
4,2015-01-01,10,deep learning/neural network,14.925373134328359
4,2015-02-01,5,deep learning/neural network,7.6923076923076925
4,2015-03-01,6,deep learning/neural network,9.375
4,2015-04-01,14,deep learning/neural network,10.071942446043165
4,2015-05-01,13,deep learning/neural network,5.936073059360731
4,2015-06-01,12,deep learning/neural network,7.643312101910828
5,2013-12-01,5,big data conferneces/businesses,7.352941176470588
5,2014-01-01,7,big data conferneces/businesses,8.235294117647058
5,2014-02-01,19,big data conferneces/businesses,12.258064516129032
5,2014-03-01,20,big data conferneces/businesses,16.260162601626018
5,2014-04-01,2,big data conferneces/businesses,3.278688524590164
5,2014-05-01,3,big data conferneces/businesses,3.896103896103896
5,2014-06-01,2,big data conferneces/businesses,1.7241379310344827
5,2014-07-01,2,big data conferneces/businesses,1.6666666666666667
5,2014-08-01,1,big data conferneces/businesses,0.847457627118644
5,2014-09-01,0,big data conferneces/businesses,0.0
5,2014-10-01,2,big data conferneces/businesses,1.4492753623188406
5,2014-11-01,3,big data conferneces/businesses,3.658536585365854
5,2014-12-01,2,big data conferneces/businesses,2.857142857142857
5,2015-01-01,2,big data conferneces/businesses,2.985074626865672
5,2015-02-01,2,big data conferneces/businesses,3.076923076923077
5,2015-03-01,2,big data conferneces/businesses,3.125
5,2015-04-01,2,big data conferneces/businesses,1.4388489208633093
5,2015-05-01,11,big data conferneces/businesses,5.0228310502283104
5,2015-06-01,3,big data conferneces/businesses,1.910828025477707
6,2013-12-01,2,python/R programming languages,2.9411764705882355
6,2014-01-01,2,python/R programming languages,2.3529411764705883
6,2014-02-01,8,python/R programming languages,5.161290322580645
6,2014-03-01,5,python/R programming languages,4.065040650406504
6,2014-04-01,2,python/R programming languages,3.278688524590164
6,2014-05-01,3,python/R programming languages,3.896103896103896
6,2014-06-01,5,python/R programming languages,4.310344827586207
6,2014-07-01,7,python/R programming languages,5.833333333333333
6,2014-08-01,11,python/R programming languages,9.322033898305085
6,2014-09-01,3,python/R programming languages,2.5
6,2014-10-01,5,python/R programming languages,3.6231884057971016
6,2014-11-01,3,python/R programming languages,3.658536585365854
6,2014-12-01,3,python/R programming languages,4.285714285714286
6,2015-01-01,4,python/R programming languages,5.970149253731344
6,2015-02-01,4,python/R programming languages,6.153846153846154
6,2015-03-01,6,python/R programming languages,9.375
6,2015-04-01,4,python/R programming languages,2.8776978417266186
6,2015-05-01,12,python/R programming languages,5.47945205479452
6,2015-06-01,3,python/R programming languages,1.910828025477707
7,2013-12-01,2,stats/probability,2.9411764705882355
7,2014-01-01,1,stats/probability,1.1764705882352942
7,2014-02-01,10,stats/probability,6.451612903225806
7,2014-03-01,3,stats/probability,2.4390243902439024
7,2014-04-01,4,stats/probability,6.557377049180328
7,2014-05-01,1,stats/probability,1.2987012987012987
7,2014-06-01,5,stats/probability,4.310344827586207
7,2014-07-01,14,stats/probability,11.666666666666666
7,2014-08-01,6,stats/probability,5.084745762711864
7,2014-09-01,7,stats/probability,5.833333333333333
7,2014-10-01,5,stats/probability,3.6231884057971016
7,2014-11-01,4,stats/probability,4.878048780487805
7,2014-12-01,5,stats/probability,7.142857142857143
7,2015-01-01,2,stats/probability,2.985074626865672
7,2015-02-01,3,stats/probability,4.615384615384615
7,2015-03-01,0,stats/probability,0.0
7,2015-04-01,8,stats/probability,5.755395683453237
7,2015-05-01,12,stats/probability,5.47945205479452
7,2015-06-01,4,stats/probability,2.5477707006369426
8,2013-12-01,3,books,4.411764705882353
8,2014-01-01,2,books,2.3529411764705883
8,2014-02-01,7,books,4.516129032258065
8,2014-03-01,5,books,4.065040650406504
8,2014-04-01,4,books,6.557377049180328
8,2014-05-01,4,books,5.194805194805195
8,2014-06-01,6,books,5.172413793103448
8,2014-07-01,10,books,8.333333333333334
8,2014-08-01,5,books,4.237288135593221
8,2014-09-01,5,books,4.166666666666667
8,2014-10-01,4,books,2.898550724637681
8,2014-11-01,5,books,6.097560975609756
8,2014-12-01,5,books,7.142857142857143
8,2015-01-01,2,books,2.985074626865672
8,2015-02-01,2,books,3.076923076923077
8,2015-03-01,3,books,4.6875
8,2015-04-01,7,books,5.0359712230215825
8,2015-05-01,4,books,1.82648401826484
8,2015-06-01,5,books,3.1847133757961785
9,2013-12-01,0,algorithm examples,0.0
9,2014-01-01,0,algorithm examples,0.0
9,2014-02-01,4,algorithm examples,2.5806451612903225
9,2014-03-01,1,algorithm examples,0.8130081300813008
9,2014-04-01,3,algorithm examples,4.918032786885246
9,2014-05-01,1,algorithm examples,1.2987012987012987
9,2014-06-01,7,algorithm examples,6.0344827586206895
9,2014-07-01,9,algorithm examples,7.5
9,2014-08-01,10,algorithm examples,8.474576271186441
9,2014-09-01,6,algorithm examples,5.0
9,2014-10-01,8,algorithm examples,5.797101449275362
9,2014-11-01,5,algorithm examples,6.097560975609756
9,2014-12-01,5,algorithm examples,7.142857142857143
9,2015-01-01,1,algorithm examples,1.492537313432836
9,2015-02-01,1,algorithm examples,1.5384615384615385
9,2015-03-01,0,algorithm examples,0.0
9,2015-04-01,9,algorithm examples,6.474820143884892
9,2015-05-01,5,algorithm examples,2.2831050228310503
9,2015-06-01,7,algorithm examples,4.45859872611465
10,2013-12-01,3,sports analytics,4.411764705882353
10,2014-01-01,2,sports analytics,2.3529411764705883
10,2014-02-01,5,sports analytics,3.225806451612903
10,2014-03-01,4,sports analytics,3.252032520325203
10,2014-04-01,2,sports analytics,3.278688524590164
10,2014-05-01,1,sports analytics,1.2987012987012987
10,2014-06-01,4,sports analytics,3.4482758620689653
10,2014-07-01,2,sports analytics,1.6666666666666667
10,2014-08-01,3,sports analytics,2.542372881355932
10,2014-09-01,1,sports analytics,0.8333333333333334
10,2014-10-01,3,sports analytics,2.1739130434782608
10,2014-11-01,1,sports analytics,1.2195121951219512
10,2014-12-01,4,sports analytics,5.714285714285714
10,2015-01-01,3,sports analytics,4.477611940298507
10,2015-02-01,2,sports analytics,3.076923076923077
10,2015-03-01,3,sports analytics,4.6875
10,2015-04-01,6,sports analytics,4.316546762589928
10,2015-05-01,3,sports analytics,1.36986301369863
10,2015-06-01,7,sports analytics,4.45859872611465
11,2013-12-01,0,business analytics,0.0
11,2014-01-01,4,business analytics,4.705882352941177
11,2014-02-01,14,business analytics,9.03225806451613
11,2014-03-01,11,business analytics,8.94308943089431
11,2014-04-01,0,business analytics,0.0
11,2014-05-01,1,business analytics,1.2987012987012987
11,2014-06-01,0,business analytics,0.0
11,2014-07-01,0,business analytics,0.0
11,2014-08-01,0,business analytics,0.0
11,2014-09-01,0,business analytics,0.0
11,2014-10-01,2,business analytics,1.4492753623188406
11,2014-11-01,1,business analytics,1.2195121951219512
11,2014-12-01,0,business analytics,0.0
11,2015-01-01,0,business analytics,0.0
11,2015-02-01,0,business analytics,0.0
11,2015-03-01,0,business analytics,0.0
11,2015-04-01,0,business analytics,0.0
11,2015-05-01,6,business analytics,2.73972602739726
11,2015-06-01,3,business analytics,1.910828025477707
12,2013-12-01,1,algorithms: intro and application,1.4705882352941178
12,2014-01-01,4,algorithms: intro and application,4.705882352941177
12,2014-02-01,4,algorithms: intro and application,2.5806451612903225
12,2014-03-01,2,algorithms: intro and application,1.6260162601626016
12,2014-04-01,1,algorithms: intro and application,1.639344262295082
12,2014-05-01,0,algorithms: intro and application,0.0
12,2014-06-01,3,algorithms: intro and application,2.586206896551724
12,2014-07-01,4,algorithms: intro and application,3.3333333333333335
12,2014-08-01,5,algorithms: intro and application,4.237288135593221
12,2014-09-01,3,algorithms: intro and application,2.5
12,2014-10-01,1,algorithms: intro and application,0.7246376811594203
12,2014-11-01,0,algorithms: intro and application,0.0
12,2014-12-01,1,algorithms: intro and application,1.4285714285714286
12,2015-01-01,2,algorithms: intro and application,2.985074626865672
12,2015-02-01,2,algorithms: intro and application,3.076923076923077
12,2015-03-01,0,algorithms: intro and application,0.0
12,2015-04-01,2,algorithms: intro and application,1.4388489208633093
12,2015-05-01,7,algorithms: intro and application,3.1963470319634704
12,2015-06-01,6,algorithms: intro and application,3.821656050955414
13,2013-12-01,1,competitions,1.4705882352941178
13,2014-01-01,1,competitions,1.1764705882352942
13,2014-02-01,2,competitions,1.2903225806451613
13,2014-03-01,6,competitions,4.878048780487805
13,2014-04-01,0,competitions,0.0
13,2014-05-01,1,competitions,1.2987012987012987
13,2014-06-01,1,competitions,0.8620689655172413
13,2014-07-01,2,competitions,1.6666666666666667
13,2014-08-01,6,competitions,5.084745762711864
13,2014-09-01,2,competitions,1.6666666666666667
13,2014-10-01,4,competitions,2.898550724637681
13,2014-11-01,3,competitions,3.658536585365854
13,2014-12-01,0,competitions,0.0
13,2015-01-01,0,competitions,0.0
13,2015-02-01,1,competitions,1.5384615384615385
13,2015-03-01,0,competitions,0.0
13,2015-04-01,6,competitions,4.316546762589928
13,2015-05-01,2,competitions,0.91324200913242
13,2015-06-01,6,competitions,3.821656050955414
14,2013-12-01,1,significant digits,1.4705882352941178
14,2014-01-01,0,significant digits,0.0
14,2014-02-01,0,significant digits,0.0
14,2014-03-01,0,significant digits,0.0
14,2014-04-01,1,significant digits,1.639344262295082
14,2014-05-01,0,significant digits,0.0
14,2014-06-01,1,significant digits,0.8620689655172413
14,2014-07-01,0,significant digits,0.0
14,2014-08-01,0,significant digits,0.0
14,2014-09-01,0,significant digits,0.0
14,2014-10-01,0,significant digits,0.0
14,2014-11-01,0,significant digits,0.0
14,2014-12-01,0,significant digits,0.0
14,2015-01-01,1,significant digits,1.492537313432836
14,2015-02-01,2,significant digits,3.076923076923077
14,2015-03-01,0,significant digits,0.0
14,2015-04-01,0,significant digits,0.0
14,2015-05-01,3,significant digits,1.36986301369863
14,2015-06-01,5,significant digits,3.1847133757961785
15,2013-12-01,0,spark/big data,0.0
15,2014-01-01,0,spark/big data,0.0
15,2014-02-01,0,spark/big data,0.0
15,2014-03-01,1,spark/big data,0.8130081300813008
15,2014-04-01,0,spark/big data,0.0
15,2014-05-01,2,spark/big data,2.5974025974025974
15,2014-06-01,2,spark/big data,1.7241379310344827
15,2014-07-01,1,spark/big data,0.8333333333333334
15,2014-08-01,3,spark/big data,2.542372881355932
15,2014-09-01,1,spark/big data,0.8333333333333334
15,2014-10-01,2,spark/big data,1.4492753623188406
15,2014-11-01,1,spark/big data,1.2195121951219512
15,2014-12-01,0,spark/big data,0.0
15,2015-01-01,0,spark/big data,0.0
15,2015-02-01,1,spark/big data,1.5384615384615385
15,2015-03-01,2,spark/big data,3.125
15,2015-04-01,3,spark/big data,2.158273381294964
15,2015-05-01,4,spark/big data,1.82648401826484
15,2015-06-01,12,spark/big data,7.643312101910828
